a=1, b=0, c=1
a=2568511, b=2566245, c=2266
a=2570778, b=2568511, c=2267
a=2573046, b=2570778, c=2268
a=2575315, b=2573046, c=2269
a=2577585, b=2575315, c=2270
a=2579856, b=2577585, c=2271
a=2582128, b=2579856, c=2272
a=2584401, b=2582128, c=2273
a=2586675, b=2584401, c=2274
a=2588950, b=2586675, c=2275
a=2591226, b=2588950, c=2276
a=2593503, b=2591226, c=2277
a=2595781, b=2593503, c=2278
a=2598060, b=2595781, c=2279
a=2600340, b=2598060, c=2280
a=2602621, b=2600340, c=2281
a=2604903, b=2602621, c=2282
a=2607186, b=2604903, c=2283
a=2609470, b=2607186, c=2284
a=2611755, b=2609470, c=2285
a=2614041, b=2611755, c=2286
a=2616328, b=2614041, c=2287
a=2618616, b=2616328, c=2288
a=2620905, b=2618616, c=2289
a=2623195, b=2620905, c=2290
a=2625486, b=2623195, c=2291
a=2627778, b=2625486, c=2292
a=2630071, b=2627778, c=2293
a=2632365, b=2630071, c=2294
a=2634660, b=2632365, c=2295
a=2636956, b=2634660, c=2296
a=2639253, b=2636956, c=2297
a=2641551, b=2639253, c=2298
a=2643850, b=2641551, c=2299
a=2646150, b=2643850, c=2300
a=2648451, b=2646150, c=2301
a=2650753, b=2648451, c=2302
a=2653056, b=2650753, c=2303
a=2655360, b=2653056, c=2304
a=2657665, b=2655360, c=2305
a=2659971, b=2657665, c=2306
a=2662278, b=2659971, c=2307
a=2664586, b=2662278, c=2308
a=2666895, b=2664586, c=2309
a=2669205, b=2666895, c=2310
a=2671516, b=2669205, c=2311
a=2673828, b=2671516, c=2312
a=2676141, b=2673828, c=2313
a=2678455, b=2676141, c=2314
a=2680770, b=2678455, c=2315
a=2683086, b=2680770, c=2316
a=2685403, b=2683086, c=2317
a=2687721, b=2685403, c=2318
a=2690040, b=2687721, c=2319
a=2692360, b=2690040, c=2320
a=2694681, b=2692360, c=2321
a=2697003, b=2694681, c=2322
a=2699326, b=2697003, c=2323
a=2701650, b=2699326, c=2324
a=2703975, b=2701650, c=2325
a=2706301, b=2703975, c=2326
a=2708628, b=2706301, c=2327
a=2710956, b=2708628, c=2328
a=2713285, b=2710956, c=2329
a=2715615, b=2713285, c=2330
a=2717946, b=2715615, c=2331
a=2720278, b=2717946, c=2332
a=2722611, b=2720278, c=2333
a=2724945, b=2722611, c=2334
a=2727280, b=2724945, c=2335
a=2729616, b=2727280, c=2336
a=2731953, b=2729616, c=2337
a=2734291, b=2731953, c=2338
a=2736630, b=2734291, c=2339
a=2738970, b=2736630, c=2340
a=2741311, b=2738970, c=2341
a=2743653, b=2741311, c=2342
a=2745996, b=2743653, c=2343
a=2748340, b=2745996, c=2344
a=2750685, b=2748340, c=2345
a=2753031, b=2750685, c=2346
a=2755378, b=2753031, c=2347
a=2757726, b=2755378, c=2348
a=2760075, b=2757726, c=2349
a=2762425, b=2760075, c=2350
a=2764776, b=2762425, c=2351
a=2767128, b=2764776, c=2352
a=2769481, b=2767128, c=2353
a=2771835, b=2769481, c=2354
a=2774190, b=2771835, c=2355
a=2776546, b=2774190, c=2356
a=2778903, b=2776546, c=2357
a=2781261, b=2778903, c=2358
a=2783620, b=2781261, c=2359
a=2785980, b=2783620, c=2360
a=2788341, b=2785980, c=2361
a=2790703, b=2788341, c=2362
a=2793066, b=2790703, c=2363
a=2795430, b=2793066, c=2364
a=2797795, b=2795430, c=2365
a=2800161, b=2797795, c=2366
a=2802528, b=2800161, c=2367
a=2804896, b=2802528, c=2368
a=2807265, b=2804896, c=2369
a=2809635, b=2807265, c=2370
a=2812006, b=2809635, c=2371
a=2814378, b=2812006, c=2372
a=2816751, b=2814378, c=2373
a=2819125, b=2816751, c=2374
a=2821500, b=2819125, c=2375
a=2823876, b=2821500, c=2376
a=2826253, b=2823876, c=2377
a=2828631, b=2826253, c=2378
a=2831010, b=2828631, c=2379
a=2833390, b=2831010, c=2380
a=2835771, b=2833390, c=2381
a=2838153, b=2835771, c=2382
a=2840536, b=2838153, c=2383
a=2842920, b=2840536, c=2384
a=2845305, b=2842920, c=2385
a=2847691, b=2845305, c=2386
a=2850078, b=2847691, c=2387
a=2852466, b=2850078, c=2388
a=2854855, b=2852466, c=2389
a=2857245, b=2854855, c=2390
a=2859636, b=2857245, c=2391
a=2862028, b=2859636, c=2392
a=2864421, b=2862028, c=2393
a=2866815, b=2864421, c=2394
a=2869210, b=2866815, c=2395
a=2871606, b=2869210, c=2396
a=2874003, b=2871606, c=2397
a=2876401, b=2874003, c=2398
a=2878800, b=2876401, c=2399
a=2881200, b=2878800, c=2400
a=2883601, b=2881200, c=2401
a=2886003, b=2883601, c=2402
a=2888406, b=2886003, c=2403
a=2890810, b=2888406, c=2404
a=2893215, b=2890810, c=2405
a=2895621, b=2893215, c=2406
a=2898028, b=2895621, c=2407
a=2900436, b=2898028, c=2408
a=2902845, b=2900436, c=2409
a=2905255, b=2902845, c=2410
a=2907666, b=2905255, c=2411
a=2910078, b=2907666, c=2412
a=2912491, b=2910078, c=2413
a=2914905, b=2912491, c=2414
a=2917320, b=2914905, c=2415
a=2919736, b=2917320, c=2416
a=2922153, b=2919736, c=2417
a=2924571, b=2922153, c=2418
a=2926990, b=2924571, c=2419
a=2929410, b=2926990, c=2420
a=2931831, b=2929410, c=2421
a=2934253, b=2931831, c=2422
a=2936676, b=2934253, c=2423
a=2939100, b=2936676, c=2424
a=2941525, b=2939100, c=2425
a=2943951, b=2941525, c=2426
a=2946378, b=2943951, c=2427
a=2948806, b=2946378, c=2428
a=2951235, b=2948806, c=2429
a=2953665, b=2951235, c=2430
a=2956096, b=2953665, c=2431
a=2958528, b=2956096, c=2432
a=2960961, b=2958528, c=2433
a=2963395, b=2960961, c=2434
a=2965830, b=2963395, c=2435
a=2968266, b=2965830, c=2436
a=2970703, b=2968266, c=2437
a=2973141, b=2970703, c=2438
a=2975580, b=2973141, c=2439
a=2978020, b=2975580, c=2440
a=2980461, b=2978020, c=2441
a=2982903, b=2980461, c=2442
a=2985346, b=2982903, c=2443
a=2987790, b=2985346, c=2444
a=2990235, b=2987790, c=2445
a=2992681, b=2990235, c=2446
a=2995128, b=2992681, c=2447
a=2997576, b=2995128, c=2448
a=3000025, b=2997576, c=2449
a=3002475, b=3000025, c=2450
a=3004926, b=3002475, c=2451
a=3007378, b=3004926, c=2452
a=3009831, b=3007378, c=2453
a=3012285, b=3009831, c=2454
a=3014740, b=3012285, c=2455
a=3017196, b=3014740, c=2456
a=3019653, b=3017196, c=2457
a=3022111, b=3019653, c=2458
a=3024570, b=3022111, c=2459
a=3027030, b=3024570, c=2460
a=3029491, b=3027030, c=2461
a=3031953, b=3029491, c=2462
a=3034416, b=3031953, c=2463
a=3036880, b=3034416, c=2464
a=3039345, b=3036880, c=2465
a=3041811, b=3039345, c=2466
a=3044278, b=3041811, c=2467
a=3046746, b=3044278, c=2468
a=3049215, b=3046746, c=2469
a=3051685, b=3049215, c=2470
a=3054156, b=3051685, c=2471
a=3056628, b=3054156, c=2472
a=3059101, b=3056628, c=2473
a=3061575, b=3059101, c=2474
a=3064050, b=3061575, c=2475
a=3066526, b=3064050, c=2476
a=3069003, b=3066526, c=2477
a=3071481, b=3069003, c=2478
a=3073960, b=3071481, c=2479
a=3076440, b=3073960, c=2480
a=3078921, b=3076440, c=2481
a=3081403, b=3078921, c=2482
a=3083886, b=3081403, c=2483
a=3086370, b=3083886, c=2484
a=3088855, b=3086370, c=2485
a=3091341, b=3088855, c=2486
a=3093828, b=3091341, c=2487
a=3096316, b=3093828, c=2488
a=3098805, b=3096316, c=2489
a=3101295, b=3098805, c=2490
a=3103786, b=3101295, c=2491
a=3106278, b=3103786, c=2492
a=3108771, b=3106278, c=2493
a=3111265, b=3108771, c=2494
a=3113760, b=3111265, c=2495
a=3116256, b=3113760, c=2496
a=3118753, b=3116256, c=2497
a=3121251, b=3118753, c=2498
a=3123750, b=3121251, c=2499
a=3126250, b=3123750, c=2500
a=3128751, b=3126250, c=2501
a=3131253, b=3128751, c=2502
a=3133756, b=3131253, c=2503
a=3136260, b=3133756, c=2504
a=3138765, b=3136260, c=2505
a=3141271, b=3138765, c=2506
a=3143778, b=3141271, c=2507
a=3146286, b=3143778, c=2508
a=3148795, b=3146286, c=2509
a=3151305, b=3148795, c=2510
a=3153816, b=3151305, c=2511
a=3156328, b=3153816, c=2512
a=3158841, b=3156328, c=2513
a=3161355, b=3158841, c=2514
a=3163870, b=3161355, c=2515
a=3166386, b=3163870, c=2516
a=3168903, b=3166386, c=2517
a=3171421, b=3168903, c=2518
a=3173940, b=3171421, c=2519
a=3176460, b=3173940, c=2520
a=3178981, b=3176460, c=2521
a=3181503, b=3178981, c=2522
a=3184026, b=3181503, c=2523
a=3186550, b=3184026, c=2524
a=3189075, b=3186550, c=2525
a=3191601, b=3189075, c=2526
a=3194128, b=3191601, c=2527
a=3196656, b=3194128, c=2528
a=3199185, b=3196656, c=2529
a=3201715, b=3199185, c=2530
a=3204246, b=3201715, c=2531
a=3206778, b=3204246, c=2532
a=3209311, b=3206778, c=2533
a=3211845, b=3209311, c=2534
a=3214380, b=3211845, c=2535
a=3216916, b=3214380, c=2536
a=3219453, b=3216916, c=2537
a=3221991, b=3219453, c=2538
a=3224530, b=3221991, c=2539
a=3227070, b=3224530, c=2540
a=3229611, b=3227070, c=2541
a=3232153, b=3229611, c=2542
a=3234696, b=3232153, c=2543
a=3237240, b=3234696, c=2544
a=3239785, b=3237240, c=2545
a=3242331, b=3239785, c=2546
a=3244878, b=3242331, c=2547
a=3247426, b=3244878, c=2548
a=3249975, b=3247426, c=2549
a=3252525, b=3249975, c=2550
a=3255076, b=3252525, c=2551
a=3257628, b=3255076, c=2552
a=3260181, b=3257628, c=2553
a=3262735, b=3260181, c=2554
a=3265290, b=3262735, c=2555
a=3267846, b=3265290, c=2556
a=3270403, b=3267846, c=2557
a=3272961, b=3270403, c=2558
a=3275520, b=3272961, c=2559
a=3278080, b=3275520, c=2560
a=3280641, b=3278080, c=2561
a=3283203, b=3280641, c=2562
a=3285766, b=3283203, c=2563
a=3288330, b=3285766, c=2564
a=3290895, b=3288330, c=2565
a=3293461, b=3290895, c=2566
a=3296028, b=3293461, c=2567
a=3298596, b=3296028, c=2568
a=3301165, b=3298596, c=2569
a=3303735, b=3301165, c=2570
a=3306306, b=3303735, c=2571
a=3308878, b=3306306, c=2572
a=3311451, b=3308878, c=2573
a=3314025, b=3311451, c=2574
a=3316600, b=3314025, c=2575
a=3319176, b=3316600, c=2576
a=3321753, b=3319176, c=2577
a=3324331, b=3321753, c=2578
a=3326910, b=3324331, c=2579
a=3329490, b=3326910, c=2580
a=3332071, b=3329490, c=2581
a=3334653, b=3332071, c=2582
a=3337236, b=3334653, c=2583
a=3339820, b=3337236, c=2584
a=3342405, b=3339820, c=2585
a=3344991, b=3342405, c=2586
a=3347578, b=3344991, c=2587
a=3350166, b=3347578, c=2588
a=3352755, b=3350166, c=2589
a=3355345, b=3352755, c=2590
a=3357936, b=3355345, c=2591
a=3360528, b=3357936, c=2592
a=3363121, b=3360528, c=2593
a=3365715, b=3363121, c=2594
a=3368310, b=3365715, c=2595
a=3370906, b=3368310, c=2596
a=3373503, b=3370906, c=2597
a=3376101, b=3373503, c=2598
a=3378700, b=3376101, c=2599
a=3381300, b=3378700, c=2600
a=3383901, b=3381300, c=2601
a=3386503, b=3383901, c=2602
a=3389106, b=3386503, c=2603
a=3391710, b=3389106, c=2604
a=3394315, b=3391710, c=2605
a=3396921, b=3394315, c=2606
a=3399528, b=3396921, c=2607
a=3402136, b=3399528, c=2608
a=3404745, b=3402136, c=2609
a=3407355, b=3404745, c=2610
a=3409966, b=3407355, c=2611
a=3412578, b=3409966, c=2612
a=3415191, b=3412578, c=2613
a=3417805, b=3415191, c=2614
a=3420420, b=3417805, c=2615
a=3423036, b=3420420, c=2616
a=3425653, b=3423036, c=2617
a=3428271, b=3425653, c=2618
a=3430890, b=3428271, c=2619
a=3433510, b=3430890, c=2620
a=3436131, b=3433510, c=2621
a=3438753, b=3436131, c=2622
a=3441376, b=3438753, c=2623
a=3444000, b=3441376, c=2624
a=3446625, b=3444000, c=2625
a=3449251, b=3446625, c=2626
a=3451878, b=3449251, c=2627
a=3454506, b=3451878, c=2628
a=3457135, b=3454506, c=2629
a=3459765, b=3457135, c=2630
a=3462396, b=3459765, c=2631
a=3465028, b=3462396, c=2632
a=3467661, b=3465028, c=2633
a=3470295, b=3467661, c=2634
a=3472930, b=3470295, c=2635
a=3475566, b=3472930, c=2636
a=3478203, b=3475566, c=2637
a=3480841, b=3478203, c=2638
a=3483480, b=3480841, c=2639
a=3486120, b=3483480, c=2640
a=3488761, b=3486120, c=2641
a=3491403, b=3488761, c=2642
a=3494046, b=3491403, c=2643
a=3496690, b=3494046, c=2644
a=3499335, b=3496690, c=2645
a=3501981, b=3499335, c=2646
a=3504628, b=3501981, c=2647
a=3507276, b=3504628, c=2648
a=3509925, b=3507276, c=2649
a=3512575, b=3509925, c=2650
a=3515226, b=3512575, c=2651
a=3517878, b=3515226, c=2652
a=3520531, b=3517878, c=2653
a=3523185, b=3520531, c=2654
a=3525840, b=3523185, c=2655
a=3528496, b=3525840, c=2656
a=3531153, b=3528496, c=2657
a=3533811, b=3531153, c=2658
a=3536470, b=3533811, c=2659
a=3539130, b=3536470, c=2660
a=3541791, b=3539130, c=2661
a=3544453, b=3541791, c=2662
a=3547116, b=3544453, c=2663
a=3549780, b=3547116, c=2664
a=3552445, b=3549780, c=2665
a=3555111, b=3552445, c=2666
a=3557778, b=3555111, c=2667
a=3560446, b=3557778, c=2668
a=3563115, b=3560446, c=2669
a=3565785, b=3563115, c=2670
a=3568456, b=3565785, c=2671
a=3571128, b=3568456, c=2672
a=3573801, b=3571128, c=2673
a=3576475, b=3573801, c=2674
a=3579150, b=3576475, c=2675
a=3581826, b=3579150, c=2676
a=3584503, b=3581826, c=2677
a=3587181, b=3584503, c=2678
a=3589860, b=3587181, c=2679
a=3592540, b=3589860, c=2680
a=3595221, b=3592540, c=2681
a=3597903, b=3595221, c=2682
a=3600586, b=3597903, c=2683
a=3603270, b=3600586, c=2684
a=3605955, b=3603270, c=2685
a=3608641, b=3605955, c=2686
a=3611328, b=3608641, c=2687
a=3614016, b=3611328, c=2688
a=3616705, b=3614016, c=2689
a=3619395, b=3616705, c=2690
a=3622086, b=3619395, c=2691
a=3624778, b=3622086, c=2692
a=3627471, b=3624778, c=2693
a=3630165, b=3627471, c=2694
a=3632860, b=3630165, c=2695
a=3635556, b=3632860, c=2696
a=3638253, b=3635556, c=2697
a=3640951, b=3638253, c=2698
a=3643650, b=3640951, c=2699
a=3646350, b=3643650, c=2700
a=3649051, b=3646350, c=2701
a=3651753, b=3649051, c=2702
a=3654456, b=3651753, c=2703
a=3657160, b=3654456, c=2704
a=3659865, b=3657160, c=2705
a=3662571, b=3659865, c=2706
a=3665278, b=3662571, c=2707
a=3667986, b=3665278, c=2708
a=3670695, b=3667986, c=2709
a=3673405, b=3670695, c=2710
a=3676116, b=3673405, c=2711
a=3678828, b=3676116, c=2712
a=3681541, b=3678828, c=2713
a=3684255, b=3681541, c=2714
a=3686970, b=3684255, c=2715
a=3689686, b=3686970, c=2716
a=3692403, b=3689686, c=2717
a=3695121, b=3692403, c=2718
a=3697840, b=3695121, c=2719
a=3700560, b=3697840, c=2720
a=3703281, b=3700560, c=2721
a=3706003, b=3703281, c=2722
a=3708726, b=3706003, c=2723
a=3711450, b=3708726, c=2724
a=3714175, b=3711450, c=2725
a=3716901, b=3714175, c=2726
a=3719628, b=3716901, c=2727
a=3722356, b=3719628, c=2728
a=3725085, b=3722356, c=2729
a=3727815, b=3725085, c=2730
a=3730546, b=3727815, c=2731
a=3733278, b=3730546, c=2732
a=3736011, b=3733278, c=2733
a=3738745, b=3736011, c=2734
a=3741480, b=3738745, c=2735
a=3744216, b=3741480, c=2736
a=3746953, b=3744216, c=2737
a=3749691, b=3746953, c=2738
a=3752430, b=3749691, c=2739
a=3755170, b=3752430, c=2740
a=3757911, b=3755170, c=2741
a=3760653, b=3757911, c=2742
a=3763396, b=3760653, c=2743
a=3766140, b=3763396, c=2744
a=3768885, b=3766140, c=2745
a=3771631, b=3768885, c=2746
a=3774378, b=3771631, c=2747
a=3777126, b=3774378, c=2748
a=3779875, b=3777126, c=2749
a=3782625, b=3779875, c=2750
a=3785376, b=3782625, c=2751
a=3788128, b=3785376, c=2752
a=3790881, b=3788128, c=2753
a=3793635, b=3790881, c=2754
a=3796390, b=3793635, c=2755
a=3799146, b=3796390, c=2756
a=3801903, b=3799146, c=2757
a=3804661, b=3801903, c=2758
a=3807420, b=3804661, c=2759
a=3810180, b=3807420, c=2760
a=3812941, b=3810180, c=2761
a=3815703, b=3812941, c=2762
a=3818466, b=3815703, c=2763
a=3821230, b=3818466, c=2764
a=3823995, b=3821230, c=2765
a=3826761, b=3823995, c=2766
a=3829528, b=3826761, c=2767
a=3832296, b=3829528, c=2768
a=3835065, b=3832296, c=2769
a=3837835, b=3835065, c=2770
a=3840606, b=3837835, c=2771
a=3843378, b=3840606, c=2772
a=3846151, b=3843378, c=2773
a=3848925, b=3846151, c=2774
a=3851700, b=3848925, c=2775
a=3854476, b=3851700, c=2776
a=3857253, b=3854476, c=2777
a=3860031, b=3857253, c=2778
a=3862810, b=3860031, c=2779
a=3865590, b=3862810, c=2780
a=3868371, b=3865590, c=2781
a=3871153, b=3868371, c=2782
a=3873936, b=3871153, c=2783
a=3876720, b=3873936, c=2784
a=3879505, b=3876720, c=2785
a=3882291, b=3879505, c=2786
a=3885078, b=3882291, c=2787
a=3887866, b=3885078, c=2788
a=3890655, b=3887866, c=2789
a=3893445, b=3890655, c=2790
a=3896236, b=3893445, c=2791
a=3899028, b=3896236, c=2792
a=3901821, b=3899028, c=2793
a=3904615, b=3901821, c=2794
a=3907410, b=3904615, c=2795
a=3910206, b=3907410, c=2796
a=3913003, b=3910206, c=2797
a=3915801, b=3913003, c=2798
a=3918600, b=3915801, c=2799
a=3921400, b=3918600, c=2800
a=3924201, b=3921400, c=2801
a=3927003, b=3924201, c=2802
a=3929806, b=3927003, c=2803
a=3932610, b=3929806, c=2804
a=3935415, b=3932610, c=2805
a=3938221, b=3935415, c=2806
a=3941028, b=3938221, c=2807
a=3943836, b=3941028, c=2808
a=3946645, b=3943836, c=2809
a=3949455, b=3946645, c=2810
a=3952266, b=3949455, c=2811
a=3955078, b=3952266, c=2812
a=3957891, b=3955078, c=2813
a=3960705, b=3957891, c=2814
a=3963520, b=3960705, c=2815
a=3966336, b=3963520, c=2816
a=3969153, b=3966336, c=2817
a=3971971, b=3969153, c=2818
a=3974790, b=3971971, c=2819
a=3977610, b=3974790, c=2820
a=3980431, b=3977610, c=2821
a=3983253, b=3980431, c=2822
a=3986076, b=3983253, c=2823
a=3988900, b=3986076, c=2824
a=3991725, b=3988900, c=2825
a=3994551, b=3991725, c=2826
a=3997378, b=3994551, c=2827
a=4000206, b=3997378, c=2828
a=4003035, b=4000206, c=2829
a=4005865, b=4003035, c=2830
a=4008696, b=4005865, c=2831
a=4011528, b=4008696, c=2832
a=4014361, b=4011528, c=2833
a=4017195, b=4014361, c=2834
a=4020030, b=4017195, c=2835
a=4022866, b=4020030, c=2836
a=4025703, b=4022866, c=2837
a=4028541, b=4025703, c=2838
a=4031380, b=4028541, c=2839
a=4034220, b=4031380, c=2840
a=4037061, b=4034220, c=2841
a=4039903, b=4037061, c=2842
a=4042746, b=4039903, c=2843
a=4045590, b=4042746, c=2844
a=4048435, b=4045590, c=2845
a=4051281, b=4048435, c=2846
a=4054128, b=4051281, c=2847
a=4056976, b=4054128, c=2848
a=4059825, b=4056976, c=2849
a=4062675, b=4059825, c=2850
a=4065526, b=4062675, c=2851
a=4068378, b=4065526, c=2852
a=4071231, b=4068378, c=2853
a=4074085, b=4071231, c=2854
a=4076940, b=4074085, c=2855
a=4079796, b=4076940, c=2856
a=4082653, b=4079796, c=2857
a=4085511, b=4082653, c=2858
a=4088370, b=4085511, c=2859
a=4091230, b=4088370, c=2860
a=4094091, b=4091230, c=2861
a=4096953, b=4094091, c=2862
a=4099816, b=4096953, c=2863
a=4102680, b=4099816, c=2864
a=4105545, b=4102680, c=2865
a=4108411, b=4105545, c=2866
a=4111278, b=4108411, c=2867
a=4114146, b=4111278, c=2868
a=4117015, b=4114146, c=2869
a=4119885, b=4117015, c=2870
a=4122756, b=4119885, c=2871
a=4125628, b=4122756, c=2872
a=4128501, b=4125628, c=2873
a=4131375, b=4128501, c=2874
a=4134250, b=4131375, c=2875
a=4137126, b=4134250, c=2876
a=4140003, b=4137126, c=2877
a=4142881, b=4140003, c=2878
a=4145760, b=4142881, c=2879
a=4148640, b=4145760, c=2880
a=4151521, b=4148640, c=2881
a=4154403, b=4151521, c=2882
a=4157286, b=4154403, c=2883
a=4160170, b=4157286, c=2884
a=4163055, b=4160170, c=2885
a=4165941, b=4163055, c=2886
a=4168828, b=4165941, c=2887
a=4171716, b=4168828, c=2888
a=4174605, b=4171716, c=2889
a=4177495, b=4174605, c=2890
a=4180386, b=4177495, c=2891
a=4183278, b=4180386, c=2892
a=4186171, b=4183278, c=2893
a=4189065, b=4186171, c=2894
a=4191960, b=4189065, c=2895
a=4194856, b=4191960, c=2896
a=4197753, b=4194856, c=2897
a=4200651, b=4197753, c=2898
a=4203550, b=4200651, c=2899
a=4206450, b=4203550, c=2900
a=4209351, b=4206450, c=2901
a=4212253, b=4209351, c=2902
a=4215156, b=4212253, c=2903
a=4218060, b=4215156, c=2904
a=4220965, b=4218060, c=2905
a=4223871, b=4220965, c=2906
a=4226778, b=4223871, c=2907
a=4229686, b=4226778, c=2908
a=4232595, b=4229686, c=2909
a=4235505, b=4232595, c=2910
a=4238416, b=4235505, c=2911
a=4241328, b=4238416, c=2912
a=4244241, b=4241328, c=2913
a=4247155, b=4244241, c=2914
a=4250070, b=4247155, c=2915
a=4252986, b=4250070, c=2916
a=4255903, b=4252986, c=2917
a=4258821, b=4255903, c=2918
a=4261740, b=4258821, c=2919
a=4264660, b=4261740, c=2920
a=4267581, b=4264660, c=2921
a=4270503, b=4267581, c=2922
a=4273426, b=4270503, c=2923
a=4276350, b=4273426, c=2924
a=4279275, b=4276350, c=2925
a=4282201, b=4279275, c=2926
a=4285128, b=4282201, c=2927
a=4288056, b=4285128, c=2928
a=4290985, b=4288056, c=2929
a=4293915, b=4290985, c=2930
a=4296846, b=4293915, c=2931
a=4299778, b=4296846, c=2932
a=4302711, b=4299778, c=2933
a=4305645, b=4302711, c=2934
a=4308580, b=4305645, c=2935
a=4311516, b=4308580, c=2936
a=4314453, b=4311516, c=2937
a=4317391, b=4314453, c=2938
a=4320330, b=4317391, c=2939
a=4323270, b=4320330, c=2940
a=4326211, b=4323270, c=2941
a=4329153, b=4326211, c=2942
a=4332096, b=4329153, c=2943
a=4335040, b=4332096, c=2944
a=4337985, b=4335040, c=2945
a=4340931, b=4337985, c=2946
a=4343878, b=4340931, c=2947
a=4346826, b=4343878, c=2948
a=4349775, b=4346826, c=2949
a=4352725, b=4349775, c=2950
a=4355676, b=4352725, c=2951
a=4358628, b=4355676, c=2952
a=4361581, b=4358628, c=2953
a=4364535, b=4361581, c=2954
a=4367490, b=4364535, c=2955
a=4370446, b=4367490, c=2956
a=4373403, b=4370446, c=2957
a=4376361, b=4373403, c=2958
a=4379320, b=4376361, c=2959
a=4382280, b=4379320, c=2960
a=4385241, b=4382280, c=2961
a=4388203, b=4385241, c=2962
a=4391166, b=4388203, c=2963
a=4394130, b=4391166, c=2964
a=4397095, b=4394130, c=2965
a=4400061, b=4397095, c=2966
a=4403028, b=4400061, c=2967
a=4405996, b=4403028, c=2968
a=4408965, b=4405996, c=2969
a=4411935, b=4408965, c=2970
a=4414906, b=4411935, c=2971
a=4417878, b=4414906, c=2972
a=4420851, b=4417878, c=2973
a=4423825, b=4420851, c=2974
a=4426800, b=4423825, c=2975
a=4429776, b=4426800, c=2976
a=4432753, b=4429776, c=2977
a=4435731, b=4432753, c=2978
a=4438710, b=4435731, c=2979
a=4441690, b=4438710, c=2980
a=4444671, b=4441690, c=2981
a=4447653, b=4444671, c=2982
a=4450636, b=4447653, c=2983
a=4453620, b=4450636, c=2984
a=4456605, b=4453620, c=2985
a=4459591, b=4456605, c=2986
a=4462578, b=4459591, c=2987
a=4465566, b=4462578, c=2988
a=4468555, b=4465566, c=2989
a=4471545, b=4468555, c=2990
a=4474536, b=4471545, c=2991
a=4477528, b=4474536, c=2992
a=4480521, b=4477528, c=2993
a=4483515, b=4480521, c=2994
a=4486510, b=4483515, c=2995
a=4489506, b=4486510, c=2996
a=4492503, b=4489506, c=2997
a=4495501, b=4492503, c=2998
a=4498500, b=4495501, c=2999
a=4501500, b=4498500, c=3000
a=4504501, b=4501500, c=3001
a=4507503, b=4504501, c=3002
a=4510506, b=4507503, c=3003
a=4513510, b=4510506, c=3004
a=4516515, b=4513510, c=3005
a=4519521, b=4516515, c=3006
a=4522528, b=4519521, c=3007
a=4525536, b=4522528, c=3008
a=4528545, b=4525536, c=3009
a=4531555, b=4528545, c=3010
a=4534566, b=4531555, c=3011
a=4537578, b=4534566, c=3012
a=4540591, b=4537578, c=3013
a=4543605, b=4540591, c=3014
a=4546620, b=4543605, c=3015
a=4549636, b=4546620, c=3016
a=4552653, b=4549636, c=3017
a=4555671, b=4552653, c=3018
a=4558690, b=4555671, c=3019
a=4561710, b=4558690, c=3020
a=4564731, b=4561710, c=3021
a=4567753, b=4564731, c=3022
a=4570776, b=4567753, c=3023
a=4573800, b=4570776, c=3024
a=4576825, b=4573800, c=3025
a=4579851, b=4576825, c=3026
a=4582878, b=4579851, c=3027
a=4585906, b=4582878, c=3028
a=4588935, b=4585906, c=3029
a=4591965, b=4588935, c=3030
a=4594996, b=4591965, c=3031
a=4598028, b=4594996, c=3032
a=4601061, b=4598028, c=3033
a=4604095, b=4601061, c=3034
a=4607130, b=4604095, c=3035
a=4610166, b=4607130, c=3036
a=4613203, b=4610166, c=3037
a=4616241, b=4613203, c=3038
a=4619280, b=4616241, c=3039
a=4622320, b=4619280, c=3040
a=4625361, b=4622320, c=3041
a=4628403, b=4625361, c=3042
a=4631446, b=4628403, c=3043
a=4634490, b=4631446, c=3044
a=4637535, b=4634490, c=3045
a=4640581, b=4637535, c=3046
a=4643628, b=4640581, c=3047
a=4646676, b=4643628, c=3048
a=4649725, b=4646676, c=3049
a=4652775, b=4649725, c=3050
a=4655826, b=4652775, c=3051
a=4658878, b=4655826, c=3052
a=4661931, b=4658878, c=3053
a=4664985, b=4661931, c=3054
a=4668040, b=4664985, c=3055
a=4671096, b=4668040, c=3056
a=4674153, b=4671096, c=3057
a=4677211, b=4674153, c=3058
a=4680270, b=4677211, c=3059
a=4683330, b=4680270, c=3060
a=4686391, b=4683330, c=3061
a=4689453, b=4686391, c=3062
a=4692516, b=4689453, c=3063
a=4695580, b=4692516, c=3064
a=4698645, b=4695580, c=3065
a=4701711, b=4698645, c=3066
a=4704778, b=4701711, c=3067
a=4707846, b=4704778, c=3068
a=4710915, b=4707846, c=3069
a=4713985, b=4710915, c=3070
a=4717056, b=4713985, c=3071
a=4720128, b=4717056, c=3072
a=4723201, b=4720128, c=3073
a=4726275, b=4723201, c=3074
a=4729350, b=4726275, c=3075
a=4732426, b=4729350, c=3076
a=4735503, b=4732426, c=3077
a=4738581, b=4735503, c=3078
a=4741660, b=4738581, c=3079
a=4744740, b=4741660, c=3080
a=4747821, b=4744740, c=3081
a=4750903, b=4747821, c=3082
a=4753986, b=4750903, c=3083
a=4757070, b=4753986, c=3084
a=4760155, b=4757070, c=3085
a=4763241, b=4760155, c=3086
a=4766328, b=4763241, c=3087
